id,name,official_name_ru,city,region,focus_areas,programs,tuition_kzt_min,tuition_kzt_max,languages,admission_requirements,website,details_source_url,registry_source_url,data_status,last_verified
enu,L.N. Gumilyov Eurasian National University,Евразийский национальный университет им. Л.Н. Гумилева,Астана,Астана,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://enu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
kaznui,Kazakh National University of Arts,Казахский национальный университет искусств,Астана,Астана,Arts|Design|Music,unknown,unknown,unknown,unknown,unknown,https://kaznui.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
ballet-academy,Kazakh National Academy of Choreography,Казахская национальная академия хореографии,Астана,Астана,Choreography|Arts,unknown,unknown,unknown,unknown,unknown,https://balletacademy.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
seifullin-kazatu,S. Seifullin Kazakh Agrotechnical Research University,Казахский агротехнический университет им. С. Сейфуллина,Астана,Астана,Agriculture|Engineering,unknown,unknown,unknown,unknown,unknown,https://kazatu.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
amu,Astana Medical University,Медицинский университет Астана,Астана,Астана,Medicine|Health,Педиатрия|Лечебное дело,1750000,1750000,Казахский|Русский,ЕНТ|Аттестат|Требования программы,https://amu.edu.kz,https://amu.edu.kz,https://www.gov.kz/article/657,curated_program_data,2026-09-19
mnu,Maqsut Narikbayev University,Университет КАЗГЮУ имени М.С. Нарикбаева,Астана,Астана,Law|Business|IT,IT Product Management|LegalTech|Международное право|Корпоративная юриспруденция,2400000,2600000,Английский,ЕНТ|Аттестат|Требования программы,https://mnu.kz,https://mnu.kz,https://www.gov.kz/article/657,curated_program_data,2026-09-19
esil,Esil University,Esil University,Астана,Астана,Business|Economics,unknown,unknown,unknown,unknown,unknown,https://esil.edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
turan-astana,Turan-Astana University,Университет Туран-Астана,Астана,Астана,Multidisciplinary,unknown,unknown,unknown,unknown,unknown,https://tau-edu.kz,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
egi-kussainov,A.K. Kussainov Eurasian Humanities Institute,Евразийский гуманитарный институт имени А.К. Кусаинова,Астана,Астана,Humanities|Education,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://www.gov.kz/article/657,official_registry_only,2026-09-19
aitu,Astana IT University,Astana IT University,Астана,Астана,IT|AI|Cybersecurity,Computer Science & Software|Big Data & Artificial Intelligence|Cybersecurity & Network Defense,2500000,2500000,Английский,ЕНТ|Аттестат|Требования программы,https://astanait.edu.kz,https://astanait.edu.kz/en/bachelor,https://www.gov.kz/article/657,curated_program_data,2026-09-19
